Team,Date,Home_Away,Opp,W/L,W-L,Date_Clean
KCR,"Monday, Sep 3",@,CLE,W,46-91,Sep 3 2018
KCR,"Tuesday, Sep 4",@,CLE,L,46-92,Sep 4 2018
KCR,"Wednesday, Sep 5",@,CLE,L,46-93,Sep 5 2018
KCR,"Friday, Sep 7",@,MIN,L,46-94,Sep 7 2018
KCR,"Saturday, Sep 8",@,MIN,W,47-94,Sep 8 2018
KCR,"Sunday, Sep 9",@,MIN,L-wo,47-95,Sep 9 2018
KCR,"Monday, Sep 10",Home,CHW,W-wo,48-95,Sep 10 2018
KCR,"Tuesday, Sep 11",Home,CHW,W,49-95,Sep 11 2018
KCR,"Wednesday, Sep 12",Home,CHW,L,49-96,Sep 12 2018
KCR,"Thursday, Sep 13",Home,MIN,W,50-96,Sep 13 2018
KCR,"Friday, Sep 14",Home,MIN,W-wo,51-96,Sep 14 2018
KCR,"Saturday, Sep 15",Home,MIN,W,52-96,Sep 15 2018
KCR,"Sunday, Sep 16",Home,MIN,L,52-97,Sep 16 2018
KCR,"Monday, Sep 17",@,PIT,L-wo,52-98,Sep 17 2018
KCR,"Tuesday, Sep 18",@,PIT,L-wo,52-99,Sep 18 2018
KCR,"Wednesday, Sep 19",@,PIT,L,52-100,Sep 19 2018
KCR,"Thursday, Sep 20",@,DET,L,52-101,Sep 20 2018
KCR,"Friday, Sep 21",@,DET,W,53-101,Sep 21 2018
KCR,"Saturday, Sep 22",@,DET,L,53-102,Sep 22 2018
KCR,"Sunday, Sep 23",@,DET,W,54-102,Sep 23 2018
KCR,"Tuesday, Sep 25",@,CIN,W,55-102,Sep 25 2018
KCR,"Wednesday, Sep 26",@,CIN,W,56-102,Sep 26 2018
KCR,"Thursday, Sep 27",Home,CLE,W-wo,57-102,Sep 27 2018
KCR,"Friday, Sep 28",Home,CLE,L,57-103,Sep 28 2018
KCR,"Saturday, Sep 29",Home,CLE,W,58-103,Sep 29 2018
LAA,"Thursday, Mar 29",@,OAK,L-wo,0-1,Mar 29 2018
LAA,"Friday, Mar 30",@,OAK,W,1-1,Mar 30 2018
LAA,"Saturday, Mar 31",@,OAK,W,2-1,Mar 31 2018
LAA,"Sunday, Apr 1",@,OAK,W,3-1,Apr 1 2018
LAA,"Monday, Apr 2",Home,CLE,L,3-2,Apr 2 2018
LAA,"Tuesday, Apr 3",Home,CLE,W,4-2,Apr 3 2018
LAA,"Wednesday, Apr 4",Home,CLE,W-wo,5-2,Apr 4 2018
LAA,"Friday, Apr 6",Home,OAK,W,6-2,Apr 6 2018
LAA,"Saturday, Apr 7",Home,OAK,L,6-3,Apr 7 2018
LAA,"Sunday, Apr 8",Home,OAK,W,7-3,Apr 8 2018
LAA,"Monday, Apr 9",@,TEX,W,8-3,Apr 9 2018
LAA,"Tuesday, Apr 10",@,TEX,W,9-3,Apr 10 2018
LAA,"Wednesday, Apr 11",@,TEX,W,10-3,Apr 11 2018
LAA,"Thursday, Apr 12",@,KCR,W,11-3,Apr 12 2018
LAA,"Friday, Apr 13",@,KCR,W,12-3,Apr 13 2018
LAA,"Saturday, Apr 14",@,KCR,W,13-3,Apr 14 2018
LAA,"Tuesday, Apr 17",Home,BOS,L,13-4,Apr 17 2018
LAA,"Wednesday, Apr 18",Home,BOS,L,13-5,Apr 18 2018
LAA,"Thursday, Apr 19",Home,BOS,L,13-6,Apr 19 2018
LAA,"Friday, Apr 20",Home,SFG,L,13-7,Apr 20 2018
LAA,"Saturday, Apr 21",Home,SFG,W,14-7,Apr 21 2018
LAA,"Sunday, Apr 22",Home,SFG,L,14-8,Apr 22 2018
LAA,"Monday, Apr 23",@,HOU,W,15-8,Apr 23 2018
LAA,"Tuesday, Apr 24",@,HOU,W,16-8,Apr 24 2018
LAA,"Wednesday, Apr 25",@,HOU,L,16-9,Apr 25 2018
LAA,"Friday, Apr 27",Home,NYY,L,16-10,Apr 27 2018
LAA,"Saturday, Apr 28",Home,NYY,L,16-11,Apr 28 2018
LAA,"Sunday, Apr 29",Home,NYY,L,16-12,Apr 29 2018
LAA,"Tuesday, May 1",Home,BAL,W-wo,17-12,May 1 2018
LAA,"Wednesday, May 2",Home,BAL,W,18-12,May 2 2018
LAA,"Thursday, May 3",Home,BAL,W,19-12,May 3 2018
LAA,"Friday, May 4",@,SEA,W,20-12,May 4 2018
LAA,"Saturday, May 5",@,SEA,L-wo,20-13,May 5 2018
LAA,"Sunday, May 6",@,SEA,W,21-13,May 6 2018
LAA,"Tuesday, May 8",@,COL,L,21-14,May 8 2018
LAA,"Wednesday, May 9",@,COL,W,22-14,May 9 2018
LAA,"Thursday, May 10",Home,MIN,W,23-14,May 10 2018
LAA,"Friday, May 11",Home,MIN,L,23-15,May 11 2018
LAA,"Saturday, May 12",Home,MIN,L,23-16,May 12 2018
LAA,"Sunday, May 13",Home,MIN,W-wo,24-16,May 13 2018
LAA,"Monday, May 14",Home,HOU,W,25-16,May 14 2018
LAA,"Tuesday, May 15",Home,HOU,L,25-17,May 15 2018
LAA,"Wednesday, May 16",Home,HOU,L,25-18,May 16 2018
LAA,"Thursday, May 17",Home,TBR,L,25-19,May 17 2018
LAA,"Friday, May 18",Home,TBR,L,25-20,May 18 2018
LAA,"Saturday, May 19",Home,TBR,L,25-21,May 19 2018
LAA,"Sunday, May 20",Home,TBR,W,26-21,May 20 2018
LAA,"Tuesday, May 22",@,TOR,L,26-22,May 22 2018
LAA,"Wednesday, May 23",@,TOR,W,27-22,May 23 2018
LAA,"Thursday, May 24",@,TOR,W,28-22,May 24 2018
LAA,"Friday, May 25",@,NYY,L,28-23,May 25 2018
LAA,"Saturday, May 26",@,NYY,W,29-23,May 26 2018
LAA,"Sunday, May 27",@,NYY,L,29-24,May 27 2018
LAA,"Monday, May 28",@,DET,L,29-25,May 28 2018
LAA,"Tuesday, May 29",@,DET,W,30-25,May 29 2018
LAA,"Wednesday, May 30",@,DET,L,30-26,May 30 2018
LAA,"Thursday, May 31",@,DET,L,30-27,May 31 2018
LAA,"Friday, Jun 1",Home,TEX,W,31-27,Jun 1 2018
LAA,"Saturday, Jun 2",Home,TEX,L,31-28,Jun 2 2018
LAA,"Sunday, Jun 3",Home,TEX,W,32-28,Jun 3 2018
LAA,"Monday, Jun 4",Home,KCR,W,33-28,Jun 4 2018
LAA,"Tuesday, Jun 5",Home,KCR,W,34-28,Jun 5 2018
LAA,"Wednesday, Jun 6",Home,KCR,W,35-28,Jun 6 2018
LAA,"Friday, Jun 8",@,MIN,W,36-28,Jun 8 2018
LAA,"Saturday, Jun 9",@,MIN,W,37-28,Jun 9 2018
LAA,"Sunday, Jun 10",@,MIN,L,37-29,Jun 10 2018
LAA,"Monday, Jun 11",@,SEA,L,37-30,Jun 11 2018
LAA,"Tuesday, Jun 12",@,SEA,L,37-31,Jun 12 2018
LAA,"Wednesday, Jun 13",@,SEA,L-wo,37-32,Jun 13 2018
LAA,"Friday, Jun 15",@,OAK,W,38-32,Jun 15 2018
LAA,"Saturday, Jun 16",@,OAK,L,38-33,Jun 16 2018
LAA,"Sunday, Jun 17",@,OAK,L-wo,38-34,Jun 17 2018
LAA,"Monday, Jun 18",Home,ARI,L,38-35,Jun 18 2018
LAA,"Tuesday, Jun 19",Home,ARI,W,39-35,Jun 19 2018
LAA,"Thursday, Jun 21",Home,TOR,W,40-35,Jun 21 2018
LAA,"Friday, Jun 22",Home,TOR,W,41-35,Jun 22 2018
LAA,"Saturday, Jun 23",Home,TOR,L,41-36,Jun 23 2018
LAA,"Sunday, Jun 24",Home,TOR,L,41-37,Jun 24 2018
LAA,"Monday, Jun 25",@,KCR,L,41-38,Jun 25 2018
LAA,"Tuesday, Jun 26",@,BOS,L,41-39,Jun 26 2018
LAA,"Wednesday, Jun 27",@,BOS,L,41-40,Jun 27 2018
LAA,"Thursday, Jun 28",@,BOS,L,41-41,Jun 28 2018
LAA,"Friday, Jun 29",@,BAL,W,42-41,Jun 29 2018
LAA,"Saturday, Jun 30",@,BAL,W,43-41,Jun 30 2018
LAA,"Sunday, Jul 1",@,BAL,L,43-42,Jul 1 2018
LAA,"Tuesday, Jul 3",@,SEA,L,43-43,Jul 3 2018
LAA,"Wednesday, Jul 4",@,SEA,W,44-43,Jul 4 2018
LAA,"Thursday, Jul 5",@,SEA,L,44-44,Jul 5 2018
LAA,"Friday, Jul 6",Home,LAD,W-wo,45-44,Jul 6 2018
LAA,"Saturday, Jul 7",Home,LAD,L,45-45,Jul 7 2018
LAA,"Sunday, Jul 8",Home,LAD,W,46-45,Jul 8 2018
LAA,"Tuesday, Jul 10",Home,SEA,W,47-45,Jul 10 2018
LAA,"Wednesday, Jul 11",Home,SEA,L,47-46,Jul 11 2018
LAA,"Thursday, Jul 12",Home,SEA,W,48-46,Jul 12 2018
LAA,"Friday, Jul 13",@,LAD,L,48-47,Jul 13 2018
LAA,"Saturday, Jul 14",@,LAD,W,49-47,Jul 14 2018
LAA,"Sunday, Jul 15",@,LAD,L,49-48,Jul 15 2018
LAA,"Friday, Jul 20",Home,HOU,L,49-49,Jul 20 2018
LAA,"Saturday, Jul 21",Home,HOU,L,49-50,Jul 21 2018
LAA,"Sunday, Jul 22",Home,HOU,W,50-50,Jul 22 2018
LAA,"Monday, Jul 23",Home,CHW,L,50-51,Jul 23 2018
LAA,"Tuesday, Jul 24",Home,CHW,L,50-52,Jul 24 2018
LAA,"Wednesday, Jul 25",Home,CHW,W,51-52,Jul 25 2018
LAA,"Thursday, Jul 26",Home,CHW,W,52-52,Jul 26 2018
LAA,"Friday, Jul 27",Home,SEA,W-wo,53-52,Jul 27 2018
LAA,"Saturday, Jul 28",Home,SEA,W,54-52,Jul 28 2018
LAA,"Sunday, Jul 29",Home,SEA,L,54-53,Jul 29 2018
LAA,"Tuesday, Jul 31",@,TBR,L,54-54,Jul 31 2018
LAA,"Wednesday, Aug 1",@,TBR,L,54-55,Aug 1 2018
LAA,"Thursday, Aug 2",@,TBR,L,54-56,Aug 2 2018
LAA,"Friday, Aug 3",@,CLE,W,55-56,Aug 3 2018
LAA,"Saturday, Aug 4",@,CLE,L,55-57,Aug 4 2018
LAA,"Sunday, Aug 5",@,CLE,L,55-58,Aug 5 2018
LAA,"Monday, Aug 6",Home,DET,W,56-58,Aug 6 2018
LAA,"Tuesday, Aug 7",Home,DET,W,57-58,Aug 7 2018
LAA,"Wednesday, Aug 8",Home,DET,W,58-58,Aug 8 2018
LAA,"Friday, Aug 10",Home,OAK,W,59-58,Aug 10 2018
LAA,"Saturday, Aug 11",Home,OAK,L,59-59,Aug 11 2018
LAA,"Sunday, Aug 12",Home,OAK,L,59-60,Aug 12 2018
LAA,"Monday, Aug 13",@,SDP,W,60-60,Aug 13 2018
LAA,"Tuesday, Aug 14",@,SDP,W,61-60,Aug 14 2018
LAA,"Wednesday, Aug 15",@,SDP,W,62-60,Aug 15 2018
LAA,"Thursday, Aug 16",@,TEX,L,62-61,Aug 16 2018
LAA,"Friday, Aug 17",@,TEX,L,62-62,Aug 17 2018
LAA,"Saturday, Aug 18",@,TEX,W,63-62,Aug 18 2018
LAA,"Sunday, Aug 19",@,TEX,L,63-63,Aug 19 2018
LAA,"Tuesday, Aug 21",@,ARI,L-wo,63-64,Aug 21 2018
LAA,"Wednesday, Aug 22",@,ARI,L,63-65,Aug 22 2018
LAA,"Friday, Aug 24",Home,HOU,L,63-66,Aug 24 2018
LAA,"Saturday, Aug 25",Home,HOU,L,63-67,Aug 25 2018
LAA,"Sunday, Aug 26",Home,HOU,L,63-68,Aug 26 2018
LAA,"Monday, Aug 27",Home,COL,W,64-68,Aug 27 2018
LAA,"Tuesday, Aug 28",Home,COL,L,64-69,Aug 28 2018
LAA,"Thursday, Aug 30",@,HOU,W,65-69,Aug 30 2018
LAA,"Friday, Aug 31",@,HOU,W,66-69,Aug 31 2018
LAA,"Saturday, Sep 1",@,HOU,L,66-70,Sep 1 2018
LAA,"Sunday, Sep 2",@,HOU,L,66-71,Sep 2 2018
LAA,"Monday, Sep 3",@,TEX,W,67-71,Sep 3 2018
LAA,"Tuesday, Sep 4",@,TEX,L,67-72,Sep 4 2018
LAA,"Wednesday, Sep 5",@,TEX,W,68-72,Sep 5 2018
LAA,"Friday, Sep 7",@,CHW,W,69-72,Sep 7 2018
LAA,"Saturday, Sep 8",@,CHW,W,70-72,Sep 8 2018
LAA,"Sunday, Sep 9",@,CHW,W,71-72,Sep 9 2018
LAA,"Monday, Sep 10",Home,TEX,L,71-73,Sep 10 2018
LAA,"Tuesday, Sep 11",Home,TEX,W,72-73,Sep 11 2018
LAA,"Wednesday, Sep 12",Home,TEX,W,73-73,Sep 12 2018
LAA,"Thursday, Sep 13",Home,SEA,L,73-74,Sep 13 2018
LAA,"Friday, Sep 14",Home,SEA,L,73-75,Sep 14 2018
LAA,"Saturday, Sep 15",Home,SEA,L,73-76,Sep 15 2018
LAA,"Sunday, Sep 16",Home,SEA,W,74-76,Sep 16 2018
LAA,"Tuesday, Sep 18",@,OAK,W,75-76,Sep 18 2018
LAA,"Wednesday, Sep 19",@,OAK,L,75-77,Sep 19 2018
LAA,"Thursday, Sep 20",@,OAK,L,75-78,Sep 20 2018
LAA,"Friday, Sep 21",@,HOU,L,75-79,Sep 21 2018
LAA,"Saturday, Sep 22",@,HOU,L,75-80,Sep 22 2018
LAA,"Sunday, Sep 23",@,HOU,L,75-81,Sep 23 2018
LAA,"Monday, Sep 24",Home,TEX,W-wo,76-81,Sep 24 2018
LAA,"Tuesday, Sep 25",Home,TEX,W,77-81,Sep 25 2018
LAA,"Wednesday, Sep 26",Home,TEX,W,78-81,Sep 26 2018
LAA,"Friday, Sep 28",Home,OAK,W,79-81,Sep 28 2018
LAA,"Saturday, Sep 29",Home,OAK,L,79-82,Sep 29 2018
MIN,"Thursday, Mar 29",@,BAL,L-wo,0-1,Mar 29 2018
MIN,"Saturday, Mar 31",@,BAL,W,1-1,Mar 31 2018
MIN,"Sunday, Apr 1",@,BAL,W,2-1,Apr 1 2018
MIN,"Monday, Apr 2",@,PIT,L,2-2,Apr 2 2018
MIN,"Wednesday, Apr 4",@,PIT,W,3-2,Apr 4 2018
MIN,"Thursday, Apr 5",Home,SEA,W,4-2,Apr 5 2018
MIN,"Saturday, Apr 7",Home,SEA,L,4-3,Apr 7 2018
MIN,"Monday, Apr 9",Home,HOU,L,4-4,Apr 9 2018
MIN,"Tuesday, Apr 10",Home,HOU,W,5-4,Apr 10 2018
MIN,"Wednesday, Apr 11",Home,HOU,W-wo,6-4,Apr 11 2018
MIN,"Thursday, Apr 12",Home,CHW,W,7-4,Apr 12 2018
MIN,"Tuesday, Apr 17",Home,CLE,L,7-5,Apr 17 2018
MIN,"Wednesday, Apr 18",Home,CLE,W-wo,8-5,Apr 18 2018
MIN,"Friday, Apr 20",@,TBR,L-wo,8-6,Apr 20 2018
MIN,"Saturday, Apr 21",@,TBR,L,8-7,Apr 21 2018
MIN,"Sunday, Apr 22",@,TBR,L-wo,8-8,Apr 22 2018
MIN,"Monday, Apr 23",@,NYY,L,8-9,Apr 23 2018
MIN,"Tuesday, Apr 24",@,NYY,L,8-10,Apr 24 2018
MIN,"Wednesday, Apr 25",@,NYY,L,8-11,Apr 25 2018
MIN,"Thursday, Apr 26",@,NYY,L-wo,8-12,Apr 26 2018
MIN,"Friday, Apr 27",Home,CIN,L,8-13,Apr 27 2018
MIN,"Saturday, Apr 28",Home,CIN,W,9-13,Apr 28 2018
MIN,"Sunday, Apr 29",Home,CIN,L,9-14,Apr 29 2018
MIN,"Monday, Apr 30",Home,TOR,L,9-15,Apr 30 2018
MIN,"Tuesday, May 1",Home,TOR,L,9-16,May 1 2018
MIN,"Wednesday, May 2",Home,TOR,W,10-16,May 2 2018
MIN,"Thursday, May 3",@,CHW,L-wo,10-17,May 3 2018
MIN,"Friday, May 4",@,CHW,W,11-17,May 4 2018
MIN,"Saturday, May 5",@,CHW,W,12-17,May 5 2018
MIN,"Sunday, May 6",@,CHW,W,13-17,May 6 2018
MIN,"Monday, May 7",@,STL,W,14-17,May 7 2018
MIN,"Tuesday, May 8",@,STL,W,15-17,May 8 2018
MIN,"Thursday, May 10",@,LAA,L,15-18,May 10 2018
MIN,"Friday, May 11",@,LAA,W,16-18,May 11 2018
MIN,"Saturday, May 12",@,LAA,W,17-18,May 12 2018
MIN,"Sunday, May 13",@,LAA,L-wo,17-19,May 13 2018
MIN,"Monday, May 14",Home,SEA,L,17-20,May 14 2018
MIN,"Tuesday, May 15",Home,STL,W,18-20,May 15 2018
MIN,"Wednesday, May 16",Home,STL,L,18-21,May 16 2018
MIN,"Friday, May 18",Home,MIL,L,18-22,May 18 2018
MIN,"Saturday, May 19",Home,MIL,L,18-23,May 19 2018
MIN,"Sunday, May 20",Home,MIL,W,19-23,May 20 2018
MIN,"Monday, May 21",Home,DET,W,20-23,May 21 2018
MIN,"Tuesday, May 22",Home,DET,W,21-23,May 22 2018
MIN,"Wednesday, May 23",Home,DET,L,21-24,May 23 2018
MIN,"Friday, May 25",@,SEA,L,21-25,May 25 2018
MIN,"Saturday, May 26",@,SEA,L-wo,21-26,May 26 2018
MIN,"Sunday, May 27",@,SEA,L,21-27,May 27 2018
MIN,"Monday, May 28",@,KCR,W,22-27,May 28 2018
MIN,"Tuesday, May 29",@,KCR,L-wo,22-28,May 29 2018
MIN,"Wednesday, May 30",@,KCR,L,22-29,May 30 2018
MIN,"Thursday, May 31",Home,CLE,L,22-30,May 31 2018
MIN,"Friday, Jun 1",Home,CLE,W,23-30,Jun 1 2018
MIN,"Saturday, Jun 2",Home,CLE,W,24-30,Jun 2 2018
MIN,"Sunday, Jun 3",Home,CLE,W-wo,25-30,Jun 3 2018
MIN,"Tuesday, Jun 5 (1)",Home,CHW,W,26-30,Jun 5  2018
MIN,"Tuesday, Jun 5 (2)",Home,CHW,L,26-31,Jun 5  2018
MIN,"Wednesday, Jun 6",Home,CHW,L,26-32,Jun 6 2018
MIN,"Thursday, Jun 7",Home,CHW,W,27-32,Jun 7 2018
MIN,"Friday, Jun 8",Home,LAA,L,27-33,Jun 8 2018
MIN,"Saturday, Jun 9",Home,LAA,L,27-34,Jun 9 2018
MIN,"Sunday, Jun 10",Home,LAA,W,28-34,Jun 10 2018
MIN,"Tuesday, Jun 12",@,DET,W,29-34,Jun 12 2018
MIN,"Wednesday, Jun 13",@,DET,L,29-35,Jun 13 2018
MIN,"Thursday, Jun 14",@,DET,L,29-36,Jun 14 2018
MIN,"Friday, Jun 15",@,CLE,W,30-36,Jun 15 2018
MIN,"Saturday, Jun 16",@,CLE,W,31-36,Jun 16 2018
MIN,"Sunday, Jun 17",@,CLE,L,31-37,Jun 17 2018
MIN,"Tuesday, Jun 19",Home,BOS,W,32-37,Jun 19 2018
MIN,"Wednesday, Jun 20",Home,BOS,W,33-37,Jun 20 2018
MIN,"Thursday, Jun 21",Home,BOS,L,33-38,Jun 21 2018
MIN,"Friday, Jun 22",Home,TEX,L,33-39,Jun 22 2018
MIN,"Saturday, Jun 23",Home,TEX,L,33-40,Jun 23 2018
MIN,"Sunday, Jun 24",Home,TEX,W,34-40,Jun 24 2018
MIN,"Tuesday, Jun 26",@,CHW,L,34-41,Jun 26 2018
MIN,"Wednesday, Jun 27",@,CHW,L,34-42,Jun 27 2018
MIN,"Thursday, Jun 28",@,CHW,W,35-42,Jun 28 2018
MIN,"Friday, Jun 29",@,CHC,L,35-43,Jun 29 2018
MIN,"Saturday, Jun 30",@,CHC,L,35-44,Jun 30 2018
MIN,"Sunday, Jul 1",@,CHC,L,35-45,Jul 1 2018
MIN,"Monday, Jul 2",@,MIL,L-wo,35-46,Jul 2 2018
MIN,"Tuesday, Jul 3",@,MIL,L,35-47,Jul 3 2018
MIN,"Wednesday, Jul 4",@,MIL,L,35-48,Jul 4 2018
MIN,"Thursday, Jul 5",Home,BAL,W,36-48,Jul 5 2018
MIN,"Friday, Jul 6",Home,BAL,W,37-48,Jul 6 2018
MIN,"Saturday, Jul 7",Home,BAL,W,38-48,Jul 7 2018
MIN,"Sunday, Jul 8",Home,BAL,W,39-48,Jul 8 2018
MIN,"Monday, Jul 9",Home,KCR,W,40-48,Jul 9 2018
MIN,"Tuesday, Jul 10",Home,KCR,L,40-49,Jul 10 2018
MIN,"Wednesday, Jul 11",Home,KCR,W,41-49,Jul 11 2018
MIN,"Thursday, Jul 12",Home,TBR,W,42-49,Jul 12 2018
MIN,"Friday, Jul 13",Home,TBR,W,43-49,Jul 13 2018
MIN,"Saturday, Jul 14",Home,TBR,L,43-50,Jul 14 2018
MIN,"Sunday, Jul 15",Home,TBR,W-wo,44-50,Jul 15 2018
MIN,"Friday, Jul 20",@,KCR,L,44-51,Jul 20 2018
MIN,"Saturday, Jul 21",@,KCR,L,44-52,Jul 21 2018
MIN,"Sunday, Jul 22",@,KCR,L,44-53,Jul 22 2018
MIN,"Monday, Jul 23",@,TOR,W,45-53,Jul 23 2018
MIN,"Tuesday, Jul 24",@,TOR,W,46-53,Jul 24 2018
MIN,"Wednesday, Jul 25",@,TOR,W,47-53,Jul 25 2018
MIN,"Thursday, Jul 26",@,BOS,W,48-53,Jul 26 2018
MIN,"Friday, Jul 27",@,BOS,L-wo,48-54,Jul 27 2018
MIN,"Saturday, Jul 28",@,BOS,L,48-55,Jul 28 2018
MIN,"Sunday, Jul 29",@,BOS,L,48-56,Jul 29 2018
MIN,"Monday, Jul 30",Home,CLE,W-wo,49-56,Jul 30 2018
MIN,"Tuesday, Jul 31",Home,CLE,L,49-57,Jul 31 2018
MIN,"Wednesday, Aug 1",Home,CLE,L,49-58,Aug 1 2018
MIN,"Friday, Aug 3",Home,KCR,W,50-58,Aug 3 2018
MIN,"Saturday, Aug 4",Home,KCR,W,51-58,Aug 4 2018
MIN,"Sunday, Aug 5",Home,KCR,W,52-58,Aug 5 2018
MIN,"Monday, Aug 6",@,CLE,L,52-59,Aug 6 2018
MIN,"Tuesday, Aug 7",@,CLE,W,53-59,Aug 7 2018
MIN,"Wednesday, Aug 8",@,CLE,L-wo,53-60,Aug 8 2018
MIN,"Thursday, Aug 9",@,CLE,L-wo,53-61,Aug 9 2018
MIN,"Friday, Aug 10",@,DET,L,53-62,Aug 10 2018
MIN,"Saturday, Aug 11",@,DET,W,54-62,Aug 11 2018
MIN,"Sunday, Aug 12",@,DET,L,54-63,Aug 12 2018
MIN,"Tuesday, Aug 14",Home,PIT,W,55-63,Aug 14 2018
MIN,"Wednesday, Aug 15",Home,PIT,W,56-63,Aug 15 2018
MIN,"Thursday, Aug 16",Home,DET,W,57-63,Aug 16 2018
MIN,"Friday, Aug 17",Home,DET,W,58-63,Aug 17 2018
MIN,"Saturday, Aug 18",Home,DET,L,58-64,Aug 18 2018
MIN,"Sunday, Aug 19",Home,DET,W,59-64,Aug 19 2018
MIN,"Monday, Aug 20",Home,CHW,L,59-65,Aug 20 2018
MIN,"Tuesday, Aug 21",@,CHW,W,60-65,Aug 21 2018
MIN,"Wednesday, Aug 22",@,CHW,L,60-66,Aug 22 2018
MIN,"Thursday, Aug 23",Home,OAK,W,61-66,Aug 23 2018
MIN,"Friday, Aug 24",Home,OAK,L,61-67,Aug 24 2018
MIN,"Saturday, Aug 25",Home,OAK,L,61-68,Aug 25 2018
MIN,"Sunday, Aug 26",Home,OAK,L,61-69,Aug 26 2018
MIN,"Tuesday, Aug 28",@,CLE,L,61-70,Aug 28 2018
MIN,"Wednesday, Aug 29",@,CLE,W,62-70,Aug 29 2018
MIN,"Thursday, Aug 30",@,CLE,L,62-71,Aug 30 2018
MIN,"Friday, Aug 31",@,TEX,W,63-71,Aug 31 2018
MIN,"Saturday, Sep 1",@,TEX,L,63-72,Sep 1 2018
MIN,"Sunday, Sep 2",@,TEX,L,63-73,Sep 2 2018
MIN,"Monday, Sep 3",@,HOU,L,63-74,Sep 3 2018
MIN,"Tuesday, Sep 4",@,HOU,L,63-75,Sep 4 2018
MIN,"Wednesday, Sep 5",@,HOU,L,63-76,Sep 5 2018
MIN,"Friday, Sep 7",Home,KCR,W,64-76,Sep 7 2018
MIN,"Saturday, Sep 8",Home,KCR,L,64-77,Sep 8 2018
MIN,"Sunday, Sep 9",Home,KCR,W-wo,65-77,Sep 9 2018
MIN,"Monday, Sep 10",Home,NYY,L,65-78,Sep 10 2018
MIN,"Tuesday, Sep 11",Home,NYY,W,66-78,Sep 11 2018
MIN,"Wednesday, Sep 12",Home,NYY,W,67-78,Sep 12 2018
MIN,"Thursday, Sep 13",@,KCR,L,67-79,Sep 13 2018
MIN,"Friday, Sep 14",@,KCR,L-wo,67-80,Sep 14 2018
MIN,"Saturday, Sep 15",@,KCR,L,67-81,Sep 15 2018
MIN,"Sunday, Sep 16",@,KCR,W,68-81,Sep 16 2018
MIN,"Monday, Sep 17",@,DET,W,69-81,Sep 17 2018
MIN,"Tuesday, Sep 18",@,DET,W,70-81,Sep 18 2018
MIN,"Wednesday, Sep 19",@,DET,W,71-81,Sep 19 2018
MIN,"Friday, Sep 21",@,OAK,L-wo,71-82,Sep 21 2018
MIN,"Saturday, Sep 22",@,OAK,L-wo,71-83,Sep 22 2018
MIN,"Sunday, Sep 23",@,OAK,W,72-83,Sep 23 2018
MIN,"Tuesday, Sep 25",Home,DET,L,72-84,Sep 25 2018
MIN,"Wednesday, Sep 26",Home,DET,W,73-84,Sep 26 2018
MIN,"Thursday, Sep 27",Home,DET,W,74-84,Sep 27 2018
MIN,"Friday, Sep 28 (1)",Home,CHW,W,75-84,Sep 28  2018
MIN,"Friday, Sep 28 (2)",Home,CHW,W,76-84,Sep 28  2018
MIN,"Saturday, Sep 29",Home,CHW,W,77-84,Sep 29 2018
NYY,"Thursday, Mar 29",@,TOR,W,1-0,Mar 29 2018
NYY,"Friday, Mar 30",@,TOR,W,2-0,Mar 30 2018
NYY,"Saturday, Mar 31",@,TOR,L,2-1,Mar 31 2018
NYY,"Sunday, Apr 1",@,TOR,L,2-2,Apr 1 2018
NYY,"Tuesday, Apr 3",Home,TBR,W,3-2,Apr 3 2018
NYY,"Wednesday, Apr 4",Home,TBR,W,4-2,Apr 4 2018
NYY,"Thursday, Apr 5",Home,BAL,L,4-3,Apr 5 2018
NYY,"Friday, Apr 6",Home,BAL,L,4-4,Apr 6 2018
NYY,"Saturday, Apr 7",Home,BAL,W,5-4,Apr 7 2018
NYY,"Sunday, Apr 8",Home,BAL,L,5-5,Apr 8 2018
NYY,"Tuesday, Apr 10",@,BOS,L,5-6,Apr 10 2018
NYY,"Wednesday, Apr 11",@,BOS,W,6-6,Apr 11 2018
NYY,"Thursday, Apr 12",@,BOS,L,6-7,Apr 12 2018
NYY,"Friday, Apr 13",@,DET,W,7-7,Apr 13 2018
NYY,"Monday, Apr 16",Home,MIA,W,8-7,Apr 16 2018
NYY,"Tuesday, Apr 17",Home,MIA,L,8-8,Apr 17 2018
NYY,"Thursday, Apr 19",Home,TOR,W,9-8,Apr 19 2018
NYY,"Friday, Apr 20",Home,TOR,L,9-9,Apr 20 2018
NYY,"Saturday, Apr 21",Home,TOR,W,10-9,Apr 21 2018
NYY,"Sunday, Apr 22",Home,TOR,W,11-9,Apr 22 2018
NYY,"Monday, Apr 23",Home,MIN,W,12-9,Apr 23 2018
NYY,"Tuesday, Apr 24",Home,MIN,W,13-9,Apr 24 2018
NYY,"Wednesday, Apr 25",Home,MIN,W,14-9,Apr 25 2018
NYY,"Thursday, Apr 26",Home,MIN,W-wo,15-9,Apr 26 2018
NYY,"Friday, Apr 27",@,LAA,W,16-9,Apr 27 2018
NYY,"Saturday, Apr 28",@,LAA,W,17-9,Apr 28 2018
NYY,"Sunday, Apr 29",@,LAA,W,18-9,Apr 29 2018
NYY,"Monday, Apr 30",@,HOU,L,18-10,Apr 30 2018
