Team,Date,Home_Away,Opp,W/L,W-L,Date_Clean
BAL,"Friday, Jul 6",@,MIN,L,24-63,Jul 6 2018
BAL,"Saturday, Jul 7",@,MIN,L,24-64,Jul 7 2018
BAL,"Sunday, Jul 8",@,MIN,L,24-65,Jul 8 2018
BAL,"Monday, Jul 9 (1)",Home,NYY,W,25-65,Jul 9  2018
BAL,"Monday, Jul 9 (2)",Home,NYY,L,25-66,Jul 9  2018
BAL,"Tuesday, Jul 10",Home,NYY,W-wo,26-66,Jul 10 2018
BAL,"Wednesday, Jul 11",Home,NYY,L,26-67,Jul 11 2018
BAL,"Thursday, Jul 12",Home,PHI,L,26-68,Jul 12 2018
BAL,"Friday, Jul 13",Home,TEX,L,26-69,Jul 13 2018
BAL,"Saturday, Jul 14",Home,TEX,W,27-69,Jul 14 2018
BAL,"Sunday, Jul 15",Home,TEX,W,28-69,Jul 15 2018
BAL,"Friday, Jul 20",@,TOR,L-wo,28-70,Jul 20 2018
BAL,"Saturday, Jul 21",@,TOR,L,28-71,Jul 21 2018
BAL,"Sunday, Jul 22",@,TOR,L,28-72,Jul 22 2018
BAL,"Monday, Jul 23",Home,BOS,L,28-73,Jul 23 2018
BAL,"Tuesday, Jul 24",Home,BOS,W,29-73,Jul 24 2018
BAL,"Thursday, Jul 26",Home,TBR,L,29-74,Jul 26 2018
BAL,"Friday, Jul 27",Home,TBR,W,30-74,Jul 27 2018
BAL,"Saturday, Jul 28",Home,TBR,W,31-74,Jul 28 2018
BAL,"Sunday, Jul 29",Home,TBR,W,32-74,Jul 29 2018
BAL,"Tuesday, Jul 31",@,NYY,L,32-75,Jul 31 2018
BAL,"Wednesday, Aug 1",@,NYY,W,33-75,Aug 1 2018
BAL,"Thursday, Aug 2",@,TEX,L,33-76,Aug 2 2018
BAL,"Friday, Aug 3",@,TEX,L,33-77,Aug 3 2018
BAL,"Saturday, Aug 4",@,TEX,L,33-78,Aug 4 2018
BAL,"Sunday, Aug 5",@,TEX,W,34-78,Aug 5 2018
BAL,"Tuesday, Aug 7",@,TBR,L-wo,34-79,Aug 7 2018
BAL,"Wednesday, Aug 8",@,TBR,W,35-79,Aug 8 2018
BAL,"Thursday, Aug 9",@,TBR,L,35-80,Aug 9 2018
